
                     X                   displacement                force         

                   0.                       0.                      -0.            
                   5.                      12.4999981E-03          176.323059      
                  10.                      24.9999962E-03          352.625336      
                  15.                      37.5000114E-03          528.90686       
                  20.                      49.9999924E-03          705.167542      
                  25.                      62.5E-03                881.407593      
                  30.                      75.0000229E-03            1.05762661E+03
                  35.                      87.5E-03                  1.23382497E+03
                  40.                      99.9999847E-03            1.41000235E+03
                  45.                     112.499969E-03             1.58615959E+03
                  50.                     125.E-03                   1.76229525E+03
                  55.                     137.500031E-03             1.93841052E+03
                  60.                     150.000046E-03             2.11450505E+03
                  65.                     162.499969E-03             2.29057884E+03
                  70.                     175.E-03                   2.46663213E+03
                  75.                     187.5E-03                  2.64266443E+03
                  80.                     199.999969E-03             2.81867552E+03
                  85.                     212.500061E-03             2.99466658E+03
                  90.                     224.999939E-03             3.17063665E+03
                  95.                     237.500061E-03             3.34658575E+03
                 100.                     250.E-03                   3.52251387E+03
                 105.                     262.499939E-03             3.69842267E+03
                 110.                     275.000061E-03             3.8743093E+03 
                 115.                     287.499939E-03             4.05017567E+03
                 120.                     300.000092E-03             4.22602129E+03
                 125.                     312.5E-03                  4.40184498E+03
                 130.                     324.999939E-03             4.57764006E+03
                 135.                     337.5E-03                  4.75340843E+03
                 140.                     350.E-03                   4.92915058E+03
                 145.                     362.500092E-03             5.10486555E+03
                 150.                     375.E-03                   5.28054762E+03
                 155.                     387.499939E-03             5.45619726E+03
                 160.                     399.999939E-03             5.63181496E+03
                 165.                     412.500061E-03             5.80739641E+03
                 170.                     425.000122E-03             5.98293734E+03
                 175.                     437.5E-03                  6.15844202E+03
                 180.                     449.999878E-03             6.33390903E+03
                 185.                     462.499908E-03             6.50933552E+03
                 190.                     475.000122E-03             6.68472052E+03
                 195.                     487.500122E-03             6.86006308E+03
                 200.                     500.E-03                   7.03535986E+03
                 205.                     512.499878E-03             7.2106123E+03 
                 210.                     524.999878E-03             7.38582039E+03
                 215.                     537.500122E-03             7.56097746E+03
                 220.                     550.000122E-03             7.73608637E+03
                 225.                     562.5E-03                  7.91113853E+03
                 230.                     574.999878E-03             8.08613396E+03
                 235.                     587.499878E-03             8.26107311E+03
                 240.                     600.000183E-03             8.43594646E+03
                 245.                     612.500061E-03             8.61074734E+03
                 250.                     625.E-03                   8.78547001E+03
