
                     X                   displacement                force         

                   0.                       0.                       1.30514491    
                  50.0064812E-06           12.5014105E-03          113.076614      
                 100.006401E-06            25.0034904E-03          452.016785      
                 150.010574E-06            37.4986954E-03          456.006287      
                 200.007935E-06            49.9883499E-03          760.12738       
                 250.00528E-06             62.4780312E-03          793.931274      
                 300.002625E-06            74.9676514E-03          995.774414      
                 350.E-06                  87.4573288E-03            1.44305038E+03
                 400.008179E-06            99.9496765E-03            1.34597826E+03
                 450.005524E-06           112.439377E-03             1.62130368E+03
                 500.002869E-06           124.928963E-03             1.6130507E+03 
                 550.000244E-06           137.418686E-03             1.84624767E+03
                 600.008423E-06           149.91098E-03              2.12161016E+03
                 650.005737E-06           162.400711E-03             2.15903354E+03
                 700.003174E-06           174.890335E-03             2.56572366E+03
                 750.000488E-06           187.38002E-03              2.54439616E+03
                 800.008667E-06           199.872452E-03             2.83260202E+03
                 850.005981E-06           212.361969E-03             2.94282246E+03
                 900.003357E-06           224.851639E-03             2.97835326E+03
                 950.000732E-06           237.357773E-03             3.42468238E+03
                   1.00000894E-03         249.884598E-03             3.48100877E+03
                   1.05000627E-03         262.408691E-03             3.66139364E+03
                   1.1000036E-03          274.932739E-03             3.77065802E+03
                   1.15000093E-03         287.456665E-03             3.93536949E+03
                   1.20000911E-03         299.983521E-03             4.30454016E+03
                   1.25000644E-03         312.507629E-03             4.29999018E+03
                   1.30000389E-03         325.031708E-03             4.62056971E+03
                   1.35000122E-03         337.555847E-03             4.71462679E+03
                   1.40000939E-03         350.082428E-03             4.78359556E+03
                   1.45000672E-03         362.606628E-03             5.10592318E+03
                   1.50000405E-03         375.130646E-03             5.05287504E+03
                   1.55000138E-03         387.654663E-03             5.47854042E+03
                   1.60000968E-03         400.181488E-03             5.64526558E+03
                   1.65000701E-03         412.705475E-03             5.80761814E+03
                   1.70000434E-03         425.229706E-03             5.94787121E+03
                   1.75000167E-03         437.753693E-03             5.93651485E+03
                   1.80000985E-03         450.280426E-03             6.39051676E+03
                   1.85000718E-03         462.804749E-03             6.37126589E+03
                   1.90000463E-03         475.328491E-03             6.62480402E+03
                   1.95000196E-03         487.852997E-03             6.87209082E+03
                   2.0000093E-03          500.507172E-03             6.91074181E+03
                   2.05000472E-03         513.166687E-03             7.23272562E+03
                   2.0999999E-03          525.826416E-03             7.25767803E+03
                   2.15000582E-03         538.488647E-03             7.49344158E+03
                   2.20000124E-03         551.148499E-03             7.73518515E+03
                   2.25000715E-03         563.811035E-03             7.82399035E+03
                   2.30000234E-03         576.470459E-03             8.08687115E+03
                   2.35000825E-03         589.133057E-03             8.01832962E+03
                   2.40000367E-03         601.79248E-03              8.33392143E+03
                   2.45000958E-03         614.455078E-03             8.59296989E+03
                   2.50000477E-03         627.114563E-03             8.63559055E+03
                   2.55000019E-03         639.774292E-03             8.98237324E+03
                   2.6000061E-03          652.437012E-03             8.9503231E+03 
                   2.65000129E-03         665.096313E-03             9.22311878E+03
                   2.7000072E-03          677.758972E-03             9.40811157E+03
                   2.75000262E-03         690.418274E-03             9.42658043E+03
                   2.80000854E-03         703.080933E-03             9.74827003E+03
                   2.85000372E-03         715.740234E-03             9.76318836E+03
                   2.90000963E-03         728.403015E-03            10.0438471E+03 
                   2.95000505E-03         741.062378E-03            10.0754662E+03 
                   3.00000024E-03         753.72229E-03             10.118227E+03  
                   3.05000615E-03         766.384338E-03            10.4313202E+03 
                   3.10000157E-03         779.044373E-03            10.2843132E+03 
                   3.15000749E-03         791.706665E-03            10.534852E+03  
                   3.20000267E-03         804.366394E-03            10.5505743E+03 
                   3.25000858E-03         817.028625E-03            10.5797424E+03 
                   3.30000401E-03         829.688354E-03            10.7423906E+03 
                   3.35000992E-03         842.350647E-03            10.669282E+03  
                   3.4000051E-03          855.010498E-03            10.8786812E+03 
                   3.45000052E-03         867.670044E-03            10.7424488E+03 
                   3.50000644E-03         880.332764E-03            10.9475679E+03 
                   3.55000162E-03         892.992065E-03            10.9152517E+03 
                   3.60000753E-03         905.654785E-03            10.901124E+03  
                   3.65000296E-03         918.314026E-03            11.0967102E+03 
                   3.70000887E-03         930.976746E-03            10.9036713E+03 
                   3.75000405E-03         943.539062E-03            11.1521788E+03 
                   3.80000997E-03         956.062378E-03            11.009922E+03  
