
                     X                   displacement                force         

                   0.                       0.                      -0.            
                   5.                      11.0000048E-03          151.161148      
                  10.                      22.0000095E-03          302.306488      
                  15.                      32.9999962E-03          453.436157      
                  20.                      44.0000191E-03          604.549988      
                  25.                      54.9999886E-03          755.648193      
                  30.                      65.9999924E-03          906.730591      
                  35.                      77.0000076E-03            1.05779743E+03
                  40.                      88.0000381E-03            1.20884812E+03
                  45.                      98.9999847E-03            1.35988331E+03
                  50.                     109.999977E-03             1.510903E+03  
                  55.                     121.000038E-03             1.66190648E+03
                  60.                     131.999985E-03             1.81289434E+03
                  65.                     143.000046E-03             1.96386683E+03
                  70.                     154.000015E-03             2.11482382E+03
                  75.                     164.999969E-03             2.26576424E+03
                  80.                     176.000076E-03             2.41668963E+03
                  85.                     186.999969E-03             2.56759906E+03
                  90.                     197.999969E-03             2.71849275E+03
                  95.                     209.000076E-03             2.8693707E+03 
                 100.                     219.999954E-03             3.02023268E+03
                 105.                     230.999954E-03             3.17107892E+03
                 110.                     242.000076E-03             3.32191014E+03
                 115.                     252.999908E-03             3.47272539E+03
                 120.                     263.999969E-03             3.62352395E+03
                 125.                     275.000061E-03             3.77430844E+03
                 130.                     286.000092E-03             3.92507648E+03
                 135.                     296.999969E-03             4.07582903E+03
                 140.                     308.000031E-03             4.22656536E+03
                 145.                     319.000153E-03             4.37728548E+03
                 150.                     329.999939E-03             4.52799177E+03
                 155.                     341.E-03                   4.67868185E+03
                 160.                     352.000153E-03             4.82935429E+03
                 165.                     362.999939E-03             4.98001432E+03
                 170.                     373.999939E-03             5.13065529E+03
                 175.                     385.000153E-03             5.2812829E+03 
                 180.                     395.999939E-03             5.43189287E+03
                 185.                     406.999908E-03             5.58248949E+03
                 190.                     418.000153E-03             5.73306894E+03
                 195.                     428.999939E-03             5.88363314E+03
                 200.                     439.999908E-03             6.03418112E+03
                 205.                     451.000153E-03             6.18471384E+03
                 210.                     461.999908E-03             6.33523083E+03
                 215.                     472.999878E-03             6.48573303E+03
                 220.                     484.000153E-03             6.63621807E+03
                 225.                     494.999908E-03             6.78667879E+03
                 230.                     505.999817E-03             6.93705273E+03
                 235.                     517.000122E-03             7.08729076E+03
                 240.                     527.999939E-03             7.23735809E+03
                 245.                     538.999817E-03             7.38723087E+03
