
                     X                   displacement                force         

                   0.                       0.                     759.081543E-03  
                  50.0023308E-06            8.00005436E-03          69.9140472     
                 100.005707E-06            16.0003109E-03          285.494263      
                 150.001251E-06            23.9995823E-03          291.033752      
                 200.004639E-06            31.9970951E-03          470.787231      
                 250.000183E-06            39.9904327E-03          505.757019      
                 300.003571E-06            47.9850578E-03          593.245605      
                 350.006927E-06            55.979641E-03           892.792786      
                 400.002472E-06            63.9729652E-03          862.008789      
                 450.005859E-06            71.9676056E-03            1.02963376E+03
                 500.004639E-06            79.9684525E-03            1.03145158E+03
                 550.001526E-06            87.9917755E-03            1.1477201E+03 
                 600.006226E-06            96.0164185E-03            1.33845305E+03
                 650.003052E-06           104.039833E-03             1.35029197E+03
                 700.E-06                 112.063232E-03             1.60981739E+03
                 750.004639E-06           120.087791E-03             1.66105759E+03
                 800.001587E-06           128.111221E-03             1.79180813E+03
                 850.006226E-06           136.13591E-03              1.93533087E+03
                 900.003113E-06           144.159286E-03             1.87537169E+03
                 950.E-06                 152.182587E-03             2.09694791E+03
                   1.00000465E-03         160.207275E-03             2.22598124E+03
                   1.05000162E-03         168.23056E-03              2.3170054E+03 
                   1.10000622E-03         176.255234E-03             2.44978452E+03
                   1.15000319E-03         184.27858E-03              2.43967032E+03
                   1.20000005E-03         192.302094E-03             2.69507885E+03
                   1.25000477E-03         200.326599E-03             2.73577976E+03
                   1.30000162E-03         208.350113E-03             2.90060878E+03
                   1.35000634E-03         216.374695E-03             3.04610682E+03
                   1.40000319E-03         224.398026E-03             3.04114079E+03
                   1.45000005E-03         232.421509E-03             3.2643292E+03 
                   1.50000477E-03         240.446075E-03             3.26630545E+03
                   1.55000162E-03         248.469376E-03             3.36082315E+03
                   1.60000634E-03         256.494202E-03             3.53706479E+03
                   1.65000319E-03         264.517548E-03             3.65101314E+03
                   1.70000017E-03         272.540955E-03             3.85803294E+03
                   1.75000477E-03         280.565338E-03             3.83799291E+03
                   1.80000174E-03         288.588806E-03             3.95870948E+03
                   1.85000646E-03         296.613647E-03             4.11051989E+03
                   1.90000331E-03         304.636963E-03             4.14544344E+03
                   1.95000017E-03         312.660248E-03             4.39693308E+03
                   2.E-03                 320.573639E-03             4.38230371E+03
                   2.0500071E-03          328.480652E-03             4.56011772E+03
                   2.10000587E-03         336.385986E-03             4.69526529E+03
                   2.15000486E-03         344.291748E-03             4.71678925E+03
                   2.20000386E-03         352.197632E-03             4.89178848E+03
                   2.25000286E-03         360.103516E-03             4.89775467E+03
                   2.30000186E-03         368.009338E-03             5.15117455E+03
                   2.35000086E-03         375.914703E-03             5.21086979E+03
                   2.39999986E-03         383.820526E-03             5.25483894E+03
                   2.45000672E-03         391.727509E-03             5.47248411E+03
                   2.50000572E-03         399.633331E-03             5.46654797E+03
                   2.55000472E-03         407.539154E-03             5.64846516E+03
                   2.60000372E-03         415.444702E-03             5.65061474E+03
                   2.65000272E-03         423.350555E-03             5.84231663E+03
                   2.70000172E-03         431.256104E-03             6.04615021E+03
                   2.75000072E-03         439.161896E-03             6.01335859E+03
                   2.80000758E-03         447.069031E-03             6.22953129E+03
                   2.85000658E-03         454.974518E-03             6.24771214E+03
                   2.90000558E-03         462.880432E-03             6.40814686E+03
                   2.95000458E-03         470.785828E-03             6.46519518E+03
                   3.00000358E-03         478.691681E-03             6.53329706E+03
                   3.05000257E-03         486.597229E-03             6.82035112E+03
                   3.10000157E-03         494.503082E-03             6.80739737E+03
                   3.15000057E-03         502.408936E-03             6.95583868E+03
                   3.20000744E-03         510.315643E-03             7.00918436E+03
                   3.25000644E-03         518.221497E-03             7.11214304E+03
                   3.30000544E-03         526.12738E-03              7.27606487E+03
                   3.35000443E-03         534.032959E-03             7.26023149E+03
                   3.40000319E-03         541.938843E-03             7.54043722E+03
                   3.45000219E-03         549.844727E-03             7.61820126E+03
                   3.50000119E-03         557.750549E-03             7.70618725E+03
                   3.55000019E-03         565.656128E-03             7.80837107E+03
                   3.60000706E-03         573.562744E-03             7.82491112E+03
                   3.65000606E-03         581.468628E-03             8.06440353E+03
                   3.70000505E-03         589.374512E-03             8.04153061E+03
                   3.75000405E-03         597.280396E-03             8.2130022E+03 
                   3.80000305E-03         605.186035E-03             8.36441994E+03
                   3.85000205E-03         613.091858E-03             8.42198849E+03
                   3.90000105E-03         620.997009E-03             8.58891773E+03
                   3.94999981E-03         628.902832E-03             8.56719589E+03
                   4.00000668E-03         636.810181E-03             8.7977457E+03 
                   4.05000591E-03         644.715881E-03             8.86382771E+03
                   4.10000467E-03         652.621765E-03             8.91855812E+03
                   4.15000343E-03         660.526794E-03             9.07567501E+03
                   4.20000267E-03         668.432678E-03             9.10280704E+03
                   4.25000143E-03         676.338318E-03             9.32728672E+03
                   4.30000067E-03         684.244202E-03             9.34411335E+03
                   4.35000753E-03         692.15155E-03              9.4816618E+03 
                   4.40000629E-03         700.057495E-03             9.60704041E+03
                   4.45000553E-03         707.962463E-03             9.59347343E+03
                   4.50000429E-03         715.868103E-03             9.80381966E+03
                   4.55000353E-03         723.774048E-03             9.80537701E+03
                   4.60000229E-03         731.679993E-03             9.94786739E+03
                   4.65000153E-03         739.585815E-03             9.9869442E+03 
                   4.70000029E-03         747.491638E-03            10.0527916E+03 
                   4.75000715E-03         755.397949E-03            10.1793966E+03 
                   4.80000639E-03         763.304016E-03            10.114275E+03  
                   4.85000515E-03         771.209717E-03            10.3171015E+03 
                   4.90000439E-03         779.115479E-03            10.2415915E+03 
                   4.95000315E-03         787.021484E-03            10.3410759E+03 
                   5.00000238E-03         794.927063E-03            10.4154673E+03 
                   5.05000114E-03         802.83313E-03             10.3835964E+03 
                   5.10000038E-03         810.738037E-03            10.5435905E+03 
                   5.15000725E-03         818.645447E-03            10.4491148E+03 
                   5.20000601E-03         826.551086E-03            10.603322E+03  
                   5.25000525E-03         834.457092E-03            10.572793E+03  
                   5.30000401E-03         842.362671E-03            10.6320229E+03 
                   5.35000324E-03         850.268127E-03            10.6783686E+03 
                   5.400002E-03           858.173706E-03            10.6638269E+03 
                   5.45000076E-03         866.079834E-03            10.7778978E+03 
                   5.5E-03                873.985413E-03            10.6918945E+03 
                   5.55000687E-03         881.892761E-03            10.8452444E+03 
                   5.60000563E-03         889.797546E-03            10.761775E+03  
                   5.65000486E-03         897.703857E-03            10.8603725E+03 
                   5.70000362E-03         905.609253E-03            10.8583851E+03 
                   5.75000286E-03         913.515564E-03            10.8586864E+03 
                   5.80000162E-03         921.421021E-03            10.9506607E+03 
                   5.85000086E-03         929.326477E-03            10.857502E+03  
                   5.89999962E-03         937.232666E-03            11.0165424E+03 
                   5.95000648E-03         945.139526E-03            10.8900499E+03 
                   6.00000572E-03         953.044983E-03            11.0277462E+03 
                   6.05000448E-03         960.950317E-03            10.9620733E+03 
                   6.10000372E-03         968.85675E-03             11.0071049E+03 
                   6.15000248E-03         976.762024E-03            11.0343952E+03 
                   6.20000172E-03         984.668457E-03            10.9892797E+03 
                   6.25000048E-03         992.57312E-03             11.0907841E+03 
                   6.30000734E-03           1.00048053              10.9780312E+03 
                   6.35000658E-03           1.00838602              11.1200571E+03 
                   6.40000534E-03           1.01629245              10.9882574E+03 
                   6.45000458E-03           1.02419698              11.1157951E+03 
                   6.50000334E-03           1.03210413              11.015995E+03  
                   6.55000257E-03           1.04000878              11.0876436E+03 
                   6.60000134E-03           1.04791522              11.0441971E+03 
                   6.65000057E-03           1.05582058              11.0484324E+03 
                   6.70000744E-03           1.06372797              11.0620956E+03 
                   6.7500062E-03            1.07163274              11.0078201E+03 
                   6.80000544E-03           1.07953906              11.0609055E+03 
                   6.8500042E-03            1.08744442              10.9674692E+03 
                   6.90000296E-03           1.09535086              11.0421467E+03 
                   6.95000219E-03           1.10325623              10.9215651E+03 
                   7.00000095E-03           1.11116135              11.0103188E+03 
                   7.05000019E-03           1.11906779              10.8674259E+03 
                   7.10000706E-03           1.12697494              10.965188E+03  
                   7.15000582E-03           1.13488019              10.8101854E+03 
                   7.20000505E-03           1.14278531              10.9013357E+03 
                   7.25000381E-03           1.15069199              10.749279E+03  
                   7.30000305E-03           1.15859699              10.8239317E+03 
                   7.35000181E-03           1.16650367              10.6748867E+03 
                   7.40000105E-03           1.1744082               10.7389641E+03 
                   7.44999981E-03           1.18231487              10.5827494E+03 
                   7.50000668E-03           1.19022095              10.643281E+03  
                   7.55000591E-03           1.19812775              10.4806824E+03 
                   7.60000467E-03           1.20603263              10.5246239E+03 
                   7.65000391E-03           1.21393931              10.3750057E+03 
                   7.70000267E-03           1.22184396              10.375721E+03  
                   7.75000191E-03           1.22975063              10.2615194E+03 
                   7.80000067E-03           1.23765576              10.1964893E+03 
                   7.8500061E-03            1.24593353              10.1146011E+03 
                   7.89999962E-03           1.25433266               9.99083805E+03
                   7.95000029E-03           1.26273263               9.91234398E+03
                   8.00000095E-03           1.27113318               9.72852898E+03
                   8.0500021E-03            1.27953315               9.65804291E+03
                   8.1000061E-03            1.28791904               9.40185833E+03
                   8.15000153E-03           1.29596817               9.27896214E+03
                   8.20000458E-03           1.3036375                9.05575848E+03
                   8.25000381E-03           1.31195045               8.73205662E+03
                   8.30000496E-03           1.31972814               8.47187805E+03
                   8.35000324E-03           1.32786191               8.06159401E+03
                   8.40000153E-03           1.33579946               7.56731081E+03
                   8.44999981E-03           1.3437165                7.08263826E+03
                   8.5E-03                  1.35207081               6.64916992E+03
                   8.55000114E-03           1.36007214               6.32273149E+03
                   8.60000229E-03           1.36733341               6.04740286E+03
                   8.65000248E-03           1.37467933               5.81630516E+03
                   8.69999981E-03           1.3838588                5.56180096E+03
                   8.75000095E-03           1.39239407               5.35104418E+03
                   8.8000021E-03            1.40092576               5.17242956E+03
                   8.84999943E-03           1.40945899               5.01505423E+03
                   8.90000057E-03           1.4176265                4.87002993E+03
                   8.95000172E-03           1.42509449               4.74753189E+03
                   9.E-03                   1.43256009               4.62558126E+03
                   9.05000019E-03           1.4400264                4.51966524E+03
                   9.10000134E-03           1.44749439               4.41992569E+03
                   9.14999962E-03           1.45496011               4.3285532E+03 
                   9.19999981E-03           1.4624263                4.24251604E+03
                   9.25000095E-03           1.46989429               4.15800095E+03
                   9.3000021E-03            1.47670007               4.07879019E+03
                   9.35000038E-03           1.48310053               4.00509834E+03
                   9.40000057E-03           1.489501                 3.93223047E+03
                   9.44999981E-03           1.49830699               3.8386507E+03 
                   9.50000095E-03           1.50790763               3.7475419E+03 
                   9.54999924E-03           1.51750684               3.6599319E+03 
                   9.60000038E-03           1.52710748               3.57417655E+03
                   9.64999962E-03           1.53670776               3.49276328E+03
                   9.70000076E-03           1.54630721               3.41547585E+03
                   9.74999905E-03           1.55590785               3.3511467E+03 
                   9.80000019E-03           1.56550682               3.28653431E+03
                   9.84999943E-03           1.57387626               3.223804E+03  
                   9.89999962E-03           1.58187807               3.16642427E+03
                   9.95000076E-03           1.58987772               3.10800266E+03
                  10.E-03                   1.59787738               3.05351186E+03




